KHNZ
"EXCHANGE%3DETR
MARKET_OPEN_MINUTE=540
MARKET_CLOSE_MINUTE=1050
INTERVAL=60
COLUMNS=DATE,OPEN
DATA=
TIMEZONE_OFFSET=120
a1496133240,83.69
6,83.7
24,83.99
256,83.5
405,82.59
a1496214300,83.63
140,83.08
205,82.7
367,82.21
390,83.26
391,83.16
a1496387220,83.5
37,83.2
399,82.8
a1496743980,82.77
53,83.4
78,83.4
85,82.7
89,82.71
199,83
201,83
202,83
203,83
a1496819100,82.7
7,83.49
a1496919840,83.21
19,83.21
159,83.2
162,83.15
163,83.1
164,83.1
a1496991900,83.67
120,83.24
203,83.24
412,82.87
442,82.46
478,82.44
a1497258420,80.51
95,81.52
371,81.28
a1497338220,82.49
178,81.96
390,81.02
475,81.92
476,81.53
482,81.42
a1497423900,82.2
157,82
263,81.7
479,81.75
a1497520260,81.8
a1497596700,82.6
386,81.8
453,80
457,79.7
480,80.04
a1497857580,80.39
86,80.12
88,80.4
124,80.3
240,80
268,80.48
314,80.48
364,79.75
418,80.24
424,80.41
429,80.34
"
