RHO
"EXCHANGE%3DETR
MARKET_OPEN_MINUTE=540
MARKET_CLOSE_MINUTE=1050
INTERVAL=60
COLUMNS=DATE,OPEN
407,244.6
435,244.4
442,244.85
445,244.75
458,244.1
492,243.8
501,243.4
504,243.4
a1495436700,245.35
1,245
39,244.5
53,244.65
93,245.3
135,244.85
148,244.65
196,245
200,244.15
234,244.95
284,245.35
339,245.35
387,246.1
388,245.6
438,245.65
473,245
490,245.1
499,243
502,243.7
505,243.7
a1495528680,244.6
16,245
53,244.9
104,245.5
147,245.8
150,245.8
157,245.5
226,245.5
271,245.65
286,245.5
318,244.95
353,244.95
385,244.65
389,244.5
407,243.75
a1495615680,245.75
16,245.75
27,245.55
73,245.6
84,245.95
85,245.95
113,245.35
207,245.15
390,244.6
a1495695900,247
22,245.35
97,246.3
145,245.25
158,245.85
190,245.25
200,246.3
221,246.3
318,245.3
464,245.25
a1495782300,245.85
8,245.25
17,246
114,245.35
134,245.95
172,245.5
277,245.65
285,245.2
322,245.45
368,246.1
425,245.95
464,245.6
474,245.6
486,245.95
504,245.35
a1496041500,245.5
8,245.5
18,245.2
23,244.95
26,244.95
27,244.5
29,244.4
33,244.5
34,244.5
46,244.75
65,245.35
69,244.85
94,244.15
137,244.3
149,244.2
154,244.2
162,244.1
170,244
207,244.2
211,244.2
286,244.95
348,244.45
447,245.35
467,244.9
473,244.9
474,244.75
490,244.9
a1496127900,244.3
6,244
16,243.7
36,243.95
77,243.65
102,243.95
118,244.05
119,243.5
147,243.7
169,243.85
203,243.05
291,243.95
296,243.25
301,243.8
311,243.35
319,243.7
320,243.6
323,244.25
356,244.1
428,244.35
439,244.05
448,245
504,246.9
a1496214420,243.8
26,244.55
37,244.25
40,244.45
137,245.1
141,244.65
230,244.8
246,244.75
304,245.15
315,244.7
321,244.8
337,245.3
357,244.45
366,244.65
382,244.95
410,244.35
416,244.3
422,244.1
447,244.2
470,244.05
483,243.9
489,244.5
490,243.95
498,243.05
a1496300700,243.85
29,243.6
131,244.35
203,244.05
251,243.95
342,243.65
369,243.75
411,243.6
427,243.5
438,243.2
469,243.8
470,243.8
471,243.8
482,243.8
491,243.3
502,243.55
a1496389560,244.65
17,244.6
48,244.1
94,243.9
136,244.4
137,244.4
148,244.3
170,244.3
176,244.8
183,244.4
246,244.8
258,244.75
272,244.75
280,244.2
293,243.9
330,244
332,243.6
333,243.55
342,243.6
371,243.35
375,242.9
412,243.85
436,244
458,242.05
a1496732940,234
3,233.5
7,233
9,232.5
13,233.6
16,234.55
17,233.95
19,234.65
26,235.1
29,234.9
34,234.55
35,234.4
58,234.6
61,235.3
67,236.2
69,235.15
83,235.75
89,235.65
92,235.05
95,235.55
97,235.15
107,235.95
108,235.95
115,235.95
132,235.65
144,235.65
153,235.6
163,235.75
174,235.7
176,235.7
185,235
209,235.15
223,234.25
227,234.25
256,234.3
268,234.3
276,233.6
291,234.15
296,234.3
333,234.15
349,233.3
363,233.8
373,233.75
377,233.3
380,233.95
388,233
392,233.2
394,233
396,233
397,233
398,233.3
410,233.35
412,232.95
419,232.25
425,233.05
428,232.3
429,233.05
438,232.9
445,233
446,233.3
447,233.25
452,232.9
485,232.6
488,233.1
a1496819100,233.2
22,233
31,232.7
33,232.85
49,233
55,233
57,233.05
60,233.15
99,232.6
103,232.65
119,233.2
130,233.2
136,233.2
138,233
140,233.2
150,233
168,233.1
172,232.5
173,232.5
190,233.2
214,233.3
241,233.65
264,233.7
295,233.95
297,233.5
305,233.6
319,233.45
322,233.6
328,233.55
350,233.4
364,234
389,233.6
391,233.2
394,233.55
409,233.2
441,233.4
445,233.3
455,232.7
458,232.15
502,232.1
503,231.25
505,232.1
a1496905500,232.6
7,232.95
21,232.7
39,232.15
41,231.9
58,231.45
68,231.45
73,232.2
122,232
123,232
126,232
134,232.6
142,232
145,231.7
146,231.5
148,231.5
163,231.55
181,231.65
205,232.4
208,232
215,232.2
219,232.15
220,231.6
281,231.55
327,231.6
328,231.8
352,231.65
361,231.65
388,231.05
398,231.05
421,231.2
434,231.3
437,231
472,231.2
488,231.15
493,231
504,231
505,231
a1496992620,231.7
26,232.75
33,232
41,231.8
43,231.8
46,231.8
48,231.8
49,231.75
90,231.6
108,231.6
126,231.75
155,231.55
175,231.6
211,231.55
240,231.75
249,231.75
264,231.3
268,231
312,231.15
335,231.25
365,231.3
400,231.8
417,231.8
452,231.45
460,232
473,232.5
478,231.9
482,231.5
487,234.5
490,231.95
492,234.5
493,231.95
a1497251100,232.65
12,231.8
16,232.05
31,231.8
35,232.15
64,231.65
136,231.9
146,231.95
147,231.95
154,231.6
157,231.2
169,231.7
178,231.3
258,231.65
268,231.95
281,231.85
318,232
320,232
326,232.35
328,232.35
334,232.05
389,232.35
391,232.35
397,232.75
411,232.55
413,231.55
437,232.25
450,232.65
453,231.7
487,232.9
488,232.4
a1497337500,234.3
23,234.4
33,234.5
53,234.95
77,234.05
127,233.75
145,233.8
149,234.3
199,233.25
223,234.15
248,234
255,234
269,233.8
276,233.1
320,233.95
386,233.95
399,234.4
410,234.4
412,233.8
433,234.4
445,234.55
449,234.6
450,234.4
480,234.15
482,233.4
486,233.85
502,232.45
504,234.9
a1497423900,233.65
48,233.5
71,233.9
85,234.15
88,234.6
168,235.15
175,235.1
181,235.1
194,235.25
201,235.1
219,235.1
227,235.1
281,234.8
324,234.6
326,234.5
327,234.4
344,234.2
359,233.6
384,233.65
390,233.65
403,233.1
407,233.05
413,233.45
420,233.05
426,232.7
434,233
436,233.3
494,232.4
499,234.15
504,234.15
a1497510300,233.15
27,232.65
69,232.6
78,233
128,232.65
192,232.3
276,232.55
296,232.1
297,232
302,231.7
303,231.7
307,231.8
330,231.7
372,231.85
375,232
416,232.7
442,232.9
443,233.4
445,233.15
463,233.4
486,233.5
488,233.25
495,233.6
a1497596700,235.15
4,235.5
33,235.45
91,235.2
100,235.05
109,235
119,235
121,235
126,235.05
130,235.15
191,234.75
241,234.5
275,234.5
289,234.4
348,235
390,235.6
426,234.85
435,234.95
487,234
505,235.45
a1497855900,236.3
11,235.85
13,236.2
72,236.15
84,236.1
158,235.5
164,235.35
182,235.4
213,235.25
233,235.6
234,235.5
235,235.5
249,235
280,235.7
301,235.15
308,235.25
328,235.85
362,236.25
367,235.45
420,236.2
421,236.65
449,235.8
453,236.05
465,235.85
470,235.8
488,235.9
490,235.6
493,236.2
505,235.05
a1497942300,235.45
2,234.65
103,234.6
122,234.8
169,235.05
175,235.2
182,234.55
242,234.65
264,235.35
265,235.4
341,234.7
382,235.55
392,235.55
443,235.9
458,234.85
a1498029480,234.6
5,234
119,233.45
126,233.35
152,233.95
189,234.2
332,234.9
354,234.85
360,234.65
367,234.25
375,235
391,234.7
395,234.65
407,234.7
417,234.55
455,235.25
463,235
466,234.15
470,235.05
a1498115100,235.6
3,236.05
14,235.8
26,235.8
53,235.95
66,235.95
80,235.7
101,235.15
177,234.6
186,234.15
205,234.4
252,234.4
287,234.95
301,234.65
331,235
334,234.95
340,235
347,235
350,235.65
378,235.3
385,234.9
448,234.85
455,235.1
486,235.75
492,235.75
494,235.5
a1498201620,235
23,236.1
99,236.55
121,236.2
123,236.65
124,236.65
185,235.9
200,235.75
201,235.9
233,235.35
248,235.45
284,235.3
286,235.4
295,235.35
296,235.4
298,235
305,235.25
328,235.25
342,235.2
355,235.05
356,234.45
369,235
402,235.1
436,234.45
477,235.05
489,234.65
a1498460700,235.65
21,235
39,234.05
60,234.35
81,234.85
95,235.15
109,235.45
186,235.55
188,235.6
190,235.55
211,235.4
220,235.55
279,235.45
280,235.5
319,235.2
335,235.2
337,235.25
392,234.5
416,234.95
417,234.95
425,234.8
450,235.35
451,235.35
455,235.15
458,234.95
479,234.55
480,234.6
481,234.35
487,233.6
496,234.35
505,233.45
"
