WEG1
"EXCHANGE%3DETR
MARKET_OPEN_MINUTE=540
MARKET_CLOSE_MINUTE=1050
INTERVAL=60
COLUMNS=DATE,OPEN
DATA=
TIMEZONE_OFFSET=60
a1484640180,6.4
2,6.399
123,6.399
292,6.35
a1484738280,6.393
82,6.394
85,6.394
170,6.35
224,6.35
a1484826000,6.394
54,6.394
145,6.4
229,6.4
232,6.4
a1484918940,6.351
69,6.351
92,6.4
102,6.4
148,6.4
157,6.351
a1485180840,6.35
1,6.35
38,6.35
39,6.399
65,6.35
a1485247380,6.301
5,6.301
149,6.35
233,6.35
298,6.35
a1485335640,6.35
66,6.301
67,6.301
126,6.35
139,6.35
a1485417780,6.35
27,6.35
94,6.345
320,6.329
328,6.33
480,6.35
a1485506100,6.351
46,6.35
91,6.35
129,6.35
175,6.351
467,6.409
473,6.409
a1485767820,6.41
28,6.41
63,6.41
168,6.41
313,6.41
433,6.41
a1485868200,6.409
38,6.409
a1485953580,6.32
63,6.324
90,6.324
109,6.257
164,6.28
214,6.379
a1486024920,6.379
20,6.379
171,6.301
454,6.32
a1486109100,6.32
4,6.3
74,6.39
227,6.33
a1486386960,6.35
13,6.33
104,6.329
135,6.329
136,6.33
a1486455420,6.389
129,6.39
a1486541580,6.39
238,6.361
250,6.4
303,6.36
431,6.361
469,6.4
470,6.5
a1486627440,6.499
18,6.5
a1486720560,6.413
25,6.489
75,6.49
a1487059380,6.361
35,6.46
332,6.4
334,6.45
a1487172480,6.44
9,6.44
a1487250480,6.38
77,6.439
a1487346720,6.439
3,6.44
"
