BWO
"EXCHANGE%3DETR
MARKET_OPEN_MINUTE=540
MARKET_CLOSE_MINUTE=1050
INTERVAL=60
COLUMNS=DATE,OPEN
DATA=
TIMEZONE_OFFSET=60
a1490347260,23.3
TIMEZONE_OFFSET=120
a1490598420,23.2
a1490771100,23
39,22.955
59,23.12
110,23.07
454,23.17
a1490857500,23.295
30,23.295
40,23.3
79,23.27
286,23.215
373,23.19
424,23.14
428,23.135
456,23.24
504,23.27
a1490943900,23.34
1,23.305
109,23.11
415,23.265
476,23.515
484,23.54
494,23.6
a1491203100,23.8
16,23.615
67,23.675
75,23.59
259,23.525
260,23.52
294,23.48
424,23.585
483,23.62
503,23.635
a1491289500,23.795
51,23.735
99,23.695
241,23.7
246,23.7
256,23.785
303,23.85
309,23.805
325,23.84
a1491376740,23.945
11,24
12,24
46,24.1
60,24.255
98,24.1
158,24.115
270,24.12
467,24.285
472,24.255
a1491463920,24.4
178,24.5
226,24.69
340,24.465
a1491549000,24.25
18,24.34
327,24.455
a1491825420,24.395
119,24.545
a1491905040,24.355
61,24.475
a1491980700,24.59
17,24.59
31,24.58
32,24.58
42,24.58
44,24.58
53,24.58
56,24.58
167,24.635
404,24.59
452,24.645
454,24.715
455,24.715
456,24.72
468,24.67
474,24.75
475,24.75
504,24.76
a1492067100,24.75
13,24.68
22,24.6
26,24.535
333,24.675
395,24.795
414,24.955
422,24.845
427,24.875
435,24.915
444,24.98
453,24.865
462,24.89
465,24.8
471,24.915
478,24.93
486,24.98
492,24.98
498,24.98
504,24.98
505,25
"
