SVJ
"EXCHANGE%3DETR
MARKET_OPEN_MINUTE=540
MARKET_CLOSE_MINUTE=1050
INTERVAL=60
COLUMNS=DATE,OPEN
DATA=
TIMEZONE_OFFSET=120
a1491206820,415
a1491291960,418.55
3,418.5
44,419.2
62,419.45
177,419.8
450,418.4
a1491376980,422.5
17,423.25
114,423.7
199,423.5
206,423.25
229,422.75
235,423.35
303,422.8
398,422
a1491463980,423
10,422.85
21,422.7
70,422
296,421.8
310,421.8
360,422
446,421.3
a1491549120,421
13,420.75
81,421
282,421.4
a1491808260,422.75
1,423
249,423.65
a1491920820,421.55
a1491992820,425
4,425
15,425.9
79,426.85
85,434.6
92,435.3
100,435.15
111,435
164,433
203,432.15
237,431.85
a1492067100,431.4
27,431.95
85,431
110,430.75
117,430
131,430.05
140,430.15
149,430.55
321,430.35
391,431.95
431,432.95
451,433.15
479,433.15
495,432.3
a1492518660,431.05
66,431.05
95,430.95
a1492586280,429.5
428,429.4
a1492680600,426.5
a1492788540,425.85
"
