0UB
"EXCHANGE%3DETR
MARKET_OPEN_MINUTE=540
MARKET_CLOSE_MINUTE=1050
INTERVAL=60
COLUMNS=DATE,OPEN
472,14.48
476,14.465
484,14.475
488,14.495
490,14.485
492,14.48
493,14.47
a1495177500,14.57
1,14.6
2,14.59
5,14.535
22,14.645
39,14.66
41,14.665
55,14.63
73,14.6
76,14.6
80,14.595
137,14.645
189,14.63
225,14.61
226,14.605
231,14.595
233,14.585
241,14.575
284,14.6
296,14.61
317,14.58
391,14.58
421,14.64
425,14.63
458,14.64
467,14.64
477,14.66
485,14.645
490,14.625
495,14.61
502,14.6
a1495436700,14.795
1,14.76
5,14.64
6,14.675
21,14.675
25,14.68
36,14.64
53,14.705
73,14.715
75,14.72
101,14.71
110,14.71
125,14.695
152,14.615
162,14.585
199,14.59
213,14.585
220,14.585
223,14.585
235,14.595
240,14.61
252,14.595
257,14.59
329,14.61
332,14.625
362,14.675
388,14.685
393,14.685
434,14.645
444,14.595
479,14.6
487,14.585
490,14.57
496,14.645
501,14.6
502,14.58
a1495523100,14.555
16,14.515
25,14.515
47,14.53
67,14.605
72,14.57
142,14.58
150,14.56
153,14.555
203,14.59
259,14.555
283,14.565
307,14.525
314,14.535
367,14.555
380,14.58
425,14.53
446,14.62
460,14.655
485,14.705
490,14.705
a1495609500,14.695
7,14.68
14,14.7
40,14.685
47,14.685
65,14.665
72,14.63
137,14.67
138,14.68
160,14.675
169,14.68
175,14.67
393,14.52
395,14.51
398,14.525
401,14.55
423,14.55
450,14.585
469,14.535
478,14.525
480,14.505
494,14.505
a1495698300,15.11
41,14.91
50,14.76
58,14.55
61,14.305
75,14.51
77,14.515
95,14.56
100,14.58
105,14.58
153,14.99
200,14.905
242,15.04
271,14.32
312,14.42
323,14.51
349,14.52
350,14.52
412,14.595
422,14.595
445,14.52
446,14.53
462,14.46
a1495782300,14.565
1,14.565
6,14.59
14,14.5
25,14.5
34,14.515
35,14.495
84,14.48
152,14.41
186,14.37
188,14.365
226,14.4
237,14.39
249,14.385
295,14.39
308,14.425
317,14.45
326,14.45
345,14.52
350,14.49
382,14.495
384,14.5
385,14.485
391,14.49
410,14.495
441,14.48
444,14.48
489,14.555
494,14.56
496,14.61
a1496041500,14.465
6,14.41
23,14.435
38,14.44
56,14.46
58,14.48
65,14.5
72,14.51
73,14.51
141,14.55
177,14.535
203,14.55
227,14.55
242,14.56
308,14.555
347,14.565
354,14.575
430,14.57
457,14.565
a1496132100,14.345
7,14.35
11,14.35
59,14.34
84,14.4
90,14.41
94,14.395
115,14.4
131,14.37
145,14.38
155,14.385
236,14.395
310,14.34
311,14.365
314,14.34
316,14.355
319,14.37
322,14.375
350,14.325
383,14.34
384,14.34
404,14.335
405,14.35
"
