I7N
"EXCHANGE%3DETR
MARKET_OPEN_MINUTE=540
MARKET_CLOSE_MINUTE=1050
INTERVAL=60
COLUMNS=DATE,OPEN
DATA=
TIMEZONE_OFFSET=120
a1494406260,1.749
a1494495360,1.701
349,1.74
a1494572700,1.759
35,1.7
95,1.778
112,1.71
217,1.71
357,1.7
443,1.715
485,1.715
a1494832320,1.778
154,1.777
202,1.777
a1494935820,1.682
39,1.726
41,1.73
79,1.699
183,1.7
a1495012200,1.682
a1495098060,1.682
100,1.603
102,1.54
104,1.355
105,1.4
106,1.391
123,1.47
124,1.408
137,1.464
138,1.49
149,1.416
151,1.416
167,1.478
211,1.431
228,1.477
232,1.478
238,1.478
265,1.478
287,1.489
337,1.49
339,1.523
366,1.526
382,1.527
a1495178580,1.54
174,1.527
249,1.571
252,1.571
299,1.56
458,1.554
a1495438380,1.585
9,1.547
12,1.5
160,1.471
162,1.36
165,1.401
167,1.4
170,1.445
209,1.449
215,1.448
226,1.448
306,1.342
307,1.4
350,1.401
376,1.401
425,1.351
437,1.399
a1495523100,1.28
31,1.376
88,1.311
166,1.294
168,1.344
169,1.366
176,1.366
187,1.366
190,1.367
191,1.37
220,1.351
231,1.351
250,1.398
253,1.5
256,1.498
257,1.5
259,1.65
261,1.798
265,1.658
266,1.657
272,1.552
275,1.553
277,1.628
285,1.626
288,1.553
290,1.626
301,1.687
304,1.724
309,1.724
312,1.729
314,1.651
315,1.651
324,1.729
345,1.72
357,1.7
358,1.72
364,1.73
382,1.68
384,1.68
385,1.69
396,1.681
414,1.73
424,1.75
465,1.715
472,1.749
497,1.746
504,1.74
a1495609380,1.71
3,1.76
68,1.711
87,1.705
94,1.644
100,1.644
102,1.643
106,1.643
146,1.634
180,1.633
181,1.632
193,1.632
204,1.65
349,1.651
485,1.691
486,1.739
a1496050500,1.66
70,1.685
74,1.685
124,1.699
275,1.669
278,1.639
283,1.602
337,1.6
343,1.6
344,1.6
a1496138640,1.6
12,1.6
70,1.61
133,1.575
292,1.526
323,1.501
325,1.485
"
