WSOK
"EXCHANGE%3DETR
MARKET_OPEN_MINUTE=540
MARKET_CLOSE_MINUTE=1050
INTERVAL=60
COLUMNS=DATE,OPEN
DATA=
TIMEZONE_OFFSET=60
a1487770200,2.473
70,2.49
138,2.65
162,2.65
168,2.64
179,2.629
a1487838960,2.585
94,2.65
130,2.767
135,2.75
146,2.75
147,2.75
222,2.77
257,2.77
307,2.8
412,2.77
413,2.75
414,2.75
457,2.7
465,2.676
a1487928300,2.769
1,2.769
4,2.769
13,2.77
125,2.77
217,2.77
360,2.801
383,2.802
a1488205980,2.788
a1488283620,2.689
a1488467820,2.585
a1488803520,2.585
a1488902340,2.675
a1488983160,2.575
a1489069800,2.685
a1489134960,2.73
90,2.8
106,2.92
133,2.92
134,2.989
137,2.989
277,3.19
278,3.189
282,3.2
361,3.2
367,3.19
407,3.19
411,3.19
412,3.16
415,3.15
443,2.997
"
