4I1
"EXCHANGE%3DETR
MARKET_OPEN_MINUTE=540
MARKET_CLOSE_MINUTE=1050
INTERVAL=60
COLUMNS=DATE,OPEN
DATA=
TIMEZONE_OFFSET=60
a1487581800,97.9
296,97.49
400,97.42
a1487666520,97.89
41,98
43,98
86,98
106,98.2
141,98.01
351,98.03
a1487755200,99.49
105,99.15
125,99.2
379,99.5
387,99.11
415,99.03
a1487837100,99.4
27,98.83
86,98.8
334,99
342,98.94
376,99.2
446,99.54
498,99.86
500,99.82
503,100
a1487923500,100.7
101,100.25
121,100.3
213,100.25
282,99.75
317,99.72
330,99.69
385,99.99
388,101
480,101.4
a1488182700,101.7
33,102
82,101.65
194,101.7
457,101.9
459,102
475,101.95
a1488269100,102.45
5,102.45
25,102.5
38,102.5
82,102.4
142,102.65
295,102.6
a1488355500,103.75
11,104.05
18,104.1
83,104
103,103.75
104,103.7
105,103.7
112,103.7
149,104
253,104.1
394,103.35
424,104.05
438,103.9
a1488450840,104.25
152,104.25
a1488529680,104.35
67,104.1
117,104.15
118,104.15
150,104.5
289,104
291,103.9
293,103.9
309,103.65
325,103.7
357,103.7
358,103.7
365,103.75
370,103.6
371,103.65
372,103.65
377,103.6
450,103.8
a1488787500,103.5
12,103.5
38,103.15
62,103.15
63,103.35
98,103.4
106,103.85
134,103.45
147,103.1
239,103.75
355,103.5
360,103.5
363,103.15
488,103.5
a1488875340,103.5
43,104
56,103.35
102,103.7
103,103.7
314,103.75
315,103.6
339,103.5
423,104.3
a1488963840,104.75
402,104.15
429,104.25
a1489046700,103.9
50,104.2
338,103.55
376,103.15
a1489135080,104
17,104
47,104
139,103.9
257,104.3
356,104.05
441,103.35
"
