PCE1
"EXCHANGE%3DETR
MARKET_OPEN_MINUTE=540
MARKET_CLOSE_MINUTE=1050
INTERVAL=60
COLUMNS=DATE,OPEN
DATA=
TIMEZONE_OFFSET=120
a1496732700,1683.5
68,1677
83,1692.85
90,1680.8
92,1680.3
112,1680
253,1678
278,1672
488,1691.4
a1496830020,1683.5
a1496905500,1695.5
21,1680
a1497004560,1698.65
220,1694.55
a1497251220,1654.7
3,1640
13,1640.45
18,1642.3
27,1637.05
71,1632.8
73,1633.95
74,1633.95
98,1630.75
119,1630.75
122,1634
160,1630.45
161,1630.45
163,1630
167,1630.95
169,1631
183,1624.35
385,1625
386,1624.35
400,1610
404,1600
408,1601.1
413,1607
487,1620
489,1620
a1497337500,1636
175,1619.35
206,1627.9
322,1621.15
336,1622.05
415,1645
421,1645
a1497439080,1654.1
205,1637
a1497519240,1632.2
207,1630
253,1610
294,1608
a1497596700,1632
7,1631.4
99,1615.15
341,1626
351,1619.5
484,1619.75
488,1609.4
491,1607.6
a1497875640,1627.6
57,1612.25
167,1649.55
a1497948600,1663.7
45,1661.8
370,1667
a1498030980,1654.95
421,1677
422,1677
423,1677
a1498115100,1679.75
384,1675
a1498461240,1672.5
382,1685
470,1685
"
