ANO
"EXCHANGE%3DETR
MARKET_OPEN_MINUTE=540
MARKET_CLOSE_MINUTE=1050
INTERVAL=60
COLUMNS=DATE,OPEN
DATA=
TIMEZONE_OFFSET=120
a1496733060,0.415
5,0.41
26,0.429
35,0.41
42,0.41
65,0.41
107,0.4
108,0.402
115,0.402
201,0.4
378,0.4
381,0.41
382,0.42
408,0.41
414,0.4
a1496822040,0.409
22,0.409
28,0.409
53,0.409
249,0.4
267,0.4
282,0.41
286,0.41
304,0.4
305,0.41
331,0.4
333,0.4
344,0.41
346,0.401
395,0.403
406,0.4
413,0.401
430,0.4
449,0.403
a1496905380,0.4
64,0.4
74,0.399
89,0.399
102,0.399
146,0.398
314,0.391
317,0.388
349,0.391
390,0.396
406,0.386
467,0.383
478,0.395
a1496993640,0.38
2,0.35
5,0.36
11,0.347
19,0.355
42,0.313
43,0.36
46,0.365
73,0.359
88,0.367
89,0.371
125,0.371
204,0.367
316,0.36
322,0.37
398,0.385
a1497252060,0.365
2,0.375
22,0.375
25,0.37
37,0.375
44,0.365
52,0.365
53,0.365
66,0.365
85,0.362
125,0.369
281,0.37
372,0.37
439,0.374
a1497337560,0.374
15,0.375
23,0.375
341,0.375
351,0.361
424,0.369
480,0.37
489,0.379
a1497423780,0.351
20,0.381
53,0.365
75,0.352
151,0.364
166,0.365
216,0.364
267,0.361
279,0.365
303,0.37
305,0.38
314,0.388
340,0.391
430,0.389
475,0.383
a1497596580,0.36
359,0.361
374,0.361
389,0.361
394,0.36
406,0.359
425,0.359
440,0.36
492,0.36
a1497860280,0.379
286,0.379
362,0.361
424,0.36
425,0.36
a1497942180,0.37
17,0.364
215,0.364
277,0.36
306,0.364
322,0.36
a1498028580,0.36
185,0.355
187,0.355
191,0.352
192,0.351
193,0.351
218,0.359
374,0.35
413,0.355
414,0.36
419,0.364
a1498141440,0.35
a1498214100,0.35
143,0.35
200,0.359
208,0.359
228,0.35
a1498460580,0.359
213,0.359
221,0.359
250,0.359
251,0.35
391,0.35
393,0.36
433,0.35
"
