NN6
"EXCHANGE%3DETR
MARKET_OPEN_MINUTE=540
MARKET_CLOSE_MINUTE=1050
INTERVAL=60
COLUMNS=DATE,OPEN
DATA=
TIMEZONE_OFFSET=120
a1496732700,2.06
3,2.061
100,2.11
114,2.19
433,2.131
434,2.13
438,2.131
439,2.131
447,2.13
466,2.169
483,2.17
496,2.131
a1496819100,2.249
21,2.17
22,2.17
31,2.17
56,2.17
197,2.192
204,2.19
270,2.179
290,2.131
454,2.17
464,2.217
485,2.219
a1496907000,2.19
3,2.19
161,2.182
184,2.131
193,2.131
222,2.131
248,2.18
331,2.133
455,2.134
a1496997120,2.133
23,2.13
27,2.106
28,2.06
31,2.021
32,2.061
36,2.06
59,2.02
158,2.02
161,2.02
230,2.02
249,1.942
250,1.94
251,1.932
284,1.92
301,1.92
303,1.854
308,1.855
309,1.85
329,1.885
330,1.89
337,1.823
341,1.84
350,1.84
351,1.84
362,1.81
388,1.839
399,1.84
411,1.85
a1497250980,1.81
2,1.81
19,1.79
21,1.71
22,1.706
25,1.688
28,1.67
30,1.68
31,1.647
36,1.649
38,1.59
42,1.584
51,1.649
53,1.649
69,1.713
87,1.71
88,1.71
90,1.749
107,1.71
110,1.71
133,1.71
134,1.709
162,1.67
164,1.67
176,1.67
178,1.7
181,1.71
189,1.709
193,1.709
204,1.66
220,1.65
264,1.631
322,1.689
323,1.689
404,1.679
410,1.679
420,1.679
471,1.68
498,1.65
506,1.637
a1497337380,1.549
45,1.707
48,1.679
70,1.667
80,1.666
84,1.664
110,1.689
115,1.651
116,1.65
174,1.78
184,1.799
222,1.795
223,1.8
255,1.819
287,1.819
289,1.819
314,1.818
315,1.819
334,1.78
342,1.78
354,1.827
390,1.799
471,1.8
472,1.8
a1497424500,1.731
128,1.735
277,1.751
360,1.859
367,1.909
a1497511020,1.905
6,1.885
142,1.89
a1497596700,1.88
164,1.879
168,1.89
234,1.947
267,1.947
306,1.84
327,1.8
353,1.76
471,1.79
485,1.789
a1497855780,1.8
215,1.8
242,1.795
463,1.791
464,1.79
a1497951060,1.81
169,1.735
305,1.735
a1498033260,1.716
a1498114980,1.801
a1498201380,1.78
82,1.779
136,1.71
141,1.65
142,1.65
143,1.62
174,1.62
256,1.629
a1498467720,1.61
4,1.589
8,1.589
11,1.589
12,1.649
15,1.694
284,1.711
291,1.745
316,1.701
347,1.702
378,1.702
"
